"SubjectId" "ActivityType" "Measurement" "MeanValue"
3 "WALKING" "tBodyAccMeanX" 0.275567462068966
4 "WALKING" "tBodyAccMeanX" 0.278582015166667
5 "WALKING" "tBodyAccMeanX" 0.27784234625
6 "WALKING" "tBodyAccMeanX" 0.283658868070175
7 "WALKING" "tBodyAccMeanX" 0.275592961754386
8 "WALKING" "tBodyAccMeanX" 0.27468631
9 "WALKING" "tBodyAccMeanX" 0.278502842115385
10 "WALKING" "tBodyAccMeanX" 0.278574076603774
11 "WALKING" "tBodyAccMeanX" 0.271821892881356
12 "WALKING" "tBodyAccMeanX" 0.2771286656
13 "WALKING" "tBodyAccMeanX" 0.275883130350877
14 "WALKING" "tBodyAccMeanX" 0.271959598644068
15 "WALKING" "tBodyAccMeanX" 0.273899207962963
16 "WALKING" "tBodyAccMeanX" 0.276023564509804
17 "WALKING" "tBodyAccMeanX" 0.272341855245902
18 "WALKING" "tBodyAccMeanX" 0.273887758571429
19 "WALKING" "tBodyAccMeanX" 0.273931172307692
20 "WALKING" "tBodyAccMeanX" 0.272589336470588
21 "WALKING" "tBodyAccMeanX" 0.279183526730769
22 "WALKING" "tBodyAccMeanX" 0.27886459
23 "WALKING" "tBodyAccMeanX" 0.273211884237288
24 "WALKING" "tBodyAccMeanX" 0.276980816034483
25 "WALKING" "tBodyAccMeanX" 0.278992759054054
26 "WALKING" "tBodyAccMeanX" 0.279264443728814
27 "WALKING" "tBodyAccMeanX" 0.276849485438596
28 "WALKING" "tBodyAccMeanX" 0.281228223888889
29 "WALKING" "tBodyAccMeanX" 0.271999916792453
30 "WALKING" "tBodyAccMeanX" 0.276406758
1 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.289188320408163
2 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.27761534806383
3 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.292423484693878
4 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.279965329555556
5 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.29354392712766
6 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.277045258145833
7 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.28030708
8 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.283484089210526
9 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.295923445
10 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.290401594315789
11 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.291605631956522
12 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.281521097391304
13 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.294907553404255
14 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.293422115555556
15 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.280198851190476
16 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.295586802191489
17 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.29391828326087
18 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.288439468909091
19 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.262688053871795
20 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.296144421355556
21 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.3014610196
22 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.284458963861111
23 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.289897411148148
24 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.288631208909091
25 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.291329666206897
26 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.2792845828
27 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.2975441875
28 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.293642076521739
29 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.293140441083333
30 "WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.283190646967742
1 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.255461689622641
2 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.247164790395833
3 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.260819873067797
4 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.270876696730769
5 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.268459469914894
6 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.268229355098039
7 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.248706923078431
8 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.258880152048781
9 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.262436475714286
10 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.267121853404255
11 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.263775859277778
12 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.272970338653846
13 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.258203939581818
14 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.26242106612963
15 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.270187595833333
16 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.255986102627451
17 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.252604768583333
18 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.265401201896552
19 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.242118808925
20 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.252098317156863
21 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.265194544680851
22 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.248391534566667
23 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.249995171031373
24 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.269881106779661
25 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.277995411384615
26 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.272691394545455
27 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.265770253921569
28 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.262005841764706
29 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.265423066877551
30 "WALKING_UPSTAIRS" "tBodyAccMeanX" 0.271415642261538
1 "LAYING" "tBodyAccMeanY" -0.0405139534294
2 "LAYING" "tBodyAccMeanY" -0.0181587397583333
3 "LAYING" "tBodyAccMeanY" -0.0189556785048387
4 "LAYING" "tBodyAccMeanY" -0.0150031841055556
5 "LAYING" "tBodyAccMeanY" -0.0183042123269231
6 "LAYING" "tBodyAccMeanY" -0.0102529170561404
7 "LAYING" "tBodyAccMeanY" -0.0204411516884615
8 "LAYING" "tBodyAccMeanY" -0.0212281733881481
9 "LAYING" "tBodyAccMeanY" -0.020526821662
10 "LAYING" "tBodyAccMeanY" -0.024294484137931
11 "LAYING" "tBodyAccMeanY" -0.0176598052315789
12 "LAYING" "tBodyAccMeanY" -0.0175203917146667
13 "LAYING" "tBodyAccMeanY" -0.020440454366129
14 "LAYING" "tBodyAccMeanY" -0.0113424652490196
15 "LAYING" "tBodyAccMeanY" -0.0166296542054167
16 "LAYING" "tBodyAccMeanY" -0.0166103510562857
17 "LAYING" "tBodyAccMeanY" -0.0168462006729577
18 "LAYING" "tBodyAccMeanY" -0.0173937684615385
19 "LAYING" "tBodyAccMeanY" -0.0171426864421687
20 "LAYING" "tBodyAccMeanY" -0.0144406281132353
21 "LAYING" "tBodyAccMeanY" -0.0184233048415556
22 "LAYING" "tBodyAccMeanY" -0.0142629864502778
23 "LAYING" "tBodyAccMeanY" -0.0216553835833333
24 "LAYING" "tBodyAccMeanY" -0.0173555210111111
25 "LAYING" "tBodyAccMeanY" -0.0188943663671233
26 "LAYING" "tBodyAccMeanY" -0.0191895728026316
27 "LAYING" "tBodyAccMeanY" -0.0179867611216216
28 "LAYING" "tBodyAccMeanY" -0.0167537858225
29 "LAYING" "tBodyAccMeanY" -0.0171965484202899
30 "LAYING" "tBodyAccMeanY" -0.0194494098614286
1 "SITTING" "tBodyAccMeanY" -0.00130828765170213
2 "SITTING" "tBodyAccMeanY" -0.0156879937282609
3 "SITTING" "tBodyAccMeanY" -0.00350299841730769
4 "SITTING" "tBodyAccMeanY" -0.007163065158
5 "SITTING" "tBodyAccMeanY" -0.00990083527045455
6 "SITTING" "tBodyAccMeanY" -0.0145911615290909
7 "SITTING" "tBodyAccMeanY" -0.01461097580375
8 "SITTING" "tBodyAccMeanY" -0.00672550621304348
9 "SITTING" "tBodyAccMeanY" -0.02701677698
10 "SITTING" "tBodyAccMeanY" -0.015042681852037
11 "SITTING" "tBodyAccMeanY" -0.0149195616754717
12 "SITTING" "tBodyAccMeanY" -0.0157892988523529
13 "SITTING" "tBodyAccMeanY" -0.00587732936326531
14 "SITTING" "tBodyAccMeanY" -0.00870565463888889
15 "SITTING" "tBodyAccMeanY" -0.0117188472271186
16 "SITTING" "tBodyAccMeanY" -0.0102497939956522
17 "SITTING" "tBodyAccMeanY" -0.014156274084375
18 "SITTING" "tBodyAccMeanY" -0.0128691279736842
19 "SITTING" "tBodyAccMeanY" -0.016739260030137
20 "SITTING" "tBodyAccMeanY" -0.0147229305131818
21 "SITTING" "tBodyAccMeanY" -0.0144009705494118
22 "SITTING" "tBodyAccMeanY" -0.0123468446419355
23 "SITTING" "tBodyAccMeanY" -0.0133945015676471
24 "SITTING" "tBodyAccMeanY" -0.0131255097938235
25 "SITTING" "tBodyAccMeanY" -0.0147696808030769
26 "SITTING" "tBodyAccMeanY" -0.00713364541358974
27 "SITTING" "tBodyAccMeanY" -0.0155269799285714
28 "SITTING" "tBodyAccMeanY" -0.0185404441258333
29 "SITTING" "tBodyAccMeanY" -0.016630680375
30 "SITTING" "tBodyAccMeanY" -0.00804731295322581
1 "STANDING" "tBodyAccMeanY" -0.0161375901037736
2 "STANDING" "tBodyAccMeanY" -0.0184208270166667
3 "STANDING" "tBodyAccMeanY" -0.0143376555065574
4 "STANDING" "tBodyAccMeanY" -0.00948911098553571
5 "STANDING" "tBodyAccMeanY" -0.00700418554517857
6 "STANDING" "tBodyAccMeanY" -0.0181236327175439
7 "STANDING" "tBodyAccMeanY" -0.0145740341037736
8 "STANDING" "tBodyAccMeanY" -0.0148113067148148
9 "STANDING" "tBodyAccMeanY" -0.0200454954022222
10 "STANDING" "tBodyAccMeanY" -0.0155418603409091
11 "STANDING" "tBodyAccMeanY" -0.0171990886595745
12 "STANDING" "tBodyAccMeanY" -0.0169002543196721
13 "STANDING" "tBodyAccMeanY" -0.0167891993964912
14 "STANDING" "tBodyAccMeanY" -0.01520781344
15 "STANDING" "tBodyAccMeanY" -0.0183516360396226
16 "STANDING" "tBodyAccMeanY" -0.0165999672935897
17 "STANDING" "tBodyAccMeanY" -0.0174120064169231
18 "STANDING" "tBodyAccMeanY" -0.0166353518150685
19 "STANDING" "tBodyAccMeanY" -0.0154244056945205
20 "STANDING" "tBodyAccMeanY" -0.0180695049161644
21 "STANDING" "tBodyAccMeanY" -0.0167084730205618
22 "STANDING" "tBodyAccMeanY" -0.0158563207496825
23 "STANDING" "tBodyAccMeanY" -0.0177475547867647
24 "STANDING" "tBodyAccMeanY" -0.0144785340348986
25 "STANDING" "tBodyAccMeanY" -0.0163569730274324
26 "STANDING" "tBodyAccMeanY" -0.0166608306652703
27 "STANDING" "tBodyAccMeanY" -0.016593236445
28 "STANDING" "tBodyAccMeanY" -0.0172635124672152
29 "STANDING" "tBodyAccMeanY" -0.0172605869061538
30 "STANDING" "tBodyAccMeanY" -0.0170163887813559
1 "WALKING" "tBodyAccMeanY" -0.0173838185273684
2 "WALKING" "tBodyAccMeanY" -0.0185949199145763
3 "WALKING" "tBodyAccMeanY" -0.0171767844203448
4 "WALKING" "tBodyAccMeanY" -0.0148399475341667
5 "WALKING" "tBodyAccMeanY" -0.0172850317482679
6 "WALKING" "tBodyAccMeanY" -0.0168954189082456
7 "WALKING" "tBodyAccMeanY" -0.018653665345614
8 "WALKING" "tBodyAccMeanY" -0.0186628865310417
9 "WALKING" "tBodyAccMeanY" -0.0180891971284423
10 "WALKING" "tBodyAccMeanY" -0.017022351190566
11 "WALKING" "tBodyAccMeanY" -0.0166475833623729
12 "WALKING" "tBodyAccMeanY" -0.015560927606
13 "WALKING" "tBodyAccMeanY" -0.0185660651947368
14 "WALKING" "tBodyAccMeanY" -0.0217785380966102
15 "WALKING" "tBodyAccMeanY" -0.0170809740090741
16 "WALKING" "tBodyAccMeanY" -0.0204286929452941
17 "WALKING" "tBodyAccMeanY" -0.0184875403339344
18 "WALKING" "tBodyAccMeanY" -0.0178023631866071
19 "WALKING" "tBodyAccMeanY" -0.0191773587903846
20 "WALKING" "tBodyAccMeanY" -0.021199992245098
21 "WALKING" "tBodyAccMeanY" -0.0181610317526923
22 "WALKING" "tBodyAccMeanY" -0.0167213607957174
23 "WALKING" "tBodyAccMeanY" -0.0183618711932203
24 "WALKING" "tBodyAccMeanY" -0.0225446400534483
25 "WALKING" "tBodyAccMeanY" -0.0186477624716216
26 "WALKING" "tBodyAccMeanY" -0.0154259586949153
27 "WALKING" "tBodyAccMeanY" -0.0166478783221912
28 "WALKING" "tBodyAccMeanY" -0.0156759722981481
29 "WALKING" "tBodyAccMeanY" -0.0162915600588679
30 "WALKING" "tBodyAccMeanY" -0.0175880385730769
1 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.00991850461020408
2 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0226614158361702
3 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0193554079328571
4 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.00980200850666667
5 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.00850107533191489
6 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.019536840063125
7 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0166332372978723
8 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0211058674973684
9 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0203994269075476
10 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0200050770710526
11 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0178097721219565
12 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.018084266865793
13 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0143723839108511
14 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0200141413657778
15 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.00563047804309524
16 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0183898583787234
17 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0167359404347826
18 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0168666920221818
19 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0145942275069487
20 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.00964120773155556
21 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0173195390157778
22 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0197999371686389
23 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0162111457238889
24 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0145730348310909
25 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0210170522987931
26 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.01262580966778
27 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0135564467159091
28 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0220230465913043
29 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.01494121505625
30 "WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0174383900204839
1 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0239531492643396
2 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0214121132045833
3 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0324109410555932
4 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0319804295729615
5 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0325269755153191
6 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0272425385070588
7 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0275639005607843
8 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0282415136341463
9 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0195101099975714
10 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0143854920340426
11 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0303157822055556
12 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0263574903403846
13 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0277392253910909
14 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0204388180024074
15 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0287523860708333
16 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0143654945011765
17 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0228645614308333
18 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0222060684378914
19 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0303986615775
20 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0282258047588235
21 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0237218695148936
22 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0268622561133333
23 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0323844029237255
24 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0251979434569492
25 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0269863524264615
26 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0281633797398182
27 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0200953324078431
28 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0279443943478431
29 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0299465312326531
30 "WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0253311698786154
1 "LAYING" "tBodyAccMeanZ" -0.11320355358
2 "LAYING" "tBodyAccMeanZ" -0.107245610416667
3 "LAYING" "tBodyAccMeanZ" -0.101300477506452
4 "LAYING" "tBodyAccMeanZ" -0.110688150314815
5 "LAYING" "tBodyAccMeanZ" -0.107937603673077
6 "LAYING" "tBodyAccMeanZ" -0.133119570368421
7 "LAYING" "tBodyAccMeanZ" -0.101361036576923
8 "LAYING" "tBodyAccMeanZ" -0.102245365611111
9 "LAYING" "tBodyAccMeanZ" -0.10754972144
10 "LAYING" "tBodyAccMeanZ" -0.117168642362069
11 "LAYING" "tBodyAccMeanZ" -0.108786578070175
12 "LAYING" "tBodyAccMeanZ" -0.108160125666667
13 "LAYING" "tBodyAccMeanZ" -0.104331864532258
14 "LAYING" "tBodyAccMeanZ" -0.0868333315509804
15 "LAYING" "tBodyAccMeanZ" -0.118530240291667
16 "LAYING" "tBodyAccMeanZ" -0.107310493242857
17 "LAYING" "tBodyAccMeanZ" -0.107006279704225
18 "LAYING" "tBodyAccMeanZ" -0.107698927907692
19 "LAYING" "tBodyAccMeanZ" -0.10898146186747
20 "LAYING" "tBodyAccMeanZ" -0.104274322538235
21 "LAYING" "tBodyAccMeanZ" -0.103253832233333
22 "LAYING" "tBodyAccMeanZ" -0.110800924652778
23 "LAYING" "tBodyAccMeanZ" -0.104256776291667
24 "LAYING" "tBodyAccMeanZ" -0.107236237236111
25 "LAYING" "tBodyAccMeanZ" -0.100428830260274
26 "LAYING" "tBodyAccMeanZ" -0.105002540289474
27 "LAYING" "tBodyAccMeanZ" -0.107699732837838
28 "LAYING" "tBodyAccMeanZ" -0.1083448529625
29 "LAYING" "tBodyAccMeanZ" -0.109462068173913
30 "LAYING" "tBodyAccMeanZ" -0.1036581505
1 "SITTING" "tBodyAccMeanZ" -0.104544182255319
2 "SITTING" "tBodyAccMeanZ" -0.109218272456522
3 "SITTING" "tBodyAccMeanZ" -0.0983579203269231
4 "SITTING" "tBodyAccMeanZ" -0.10587459588
5 "SITTING" "tBodyAccMeanZ" -0.108540300265909
6 "SITTING" "tBodyAccMeanZ" -0.110127728709091
7 "SITTING" "tBodyAccMeanZ" -0.122464597625
8 "SITTING" "tBodyAccMeanZ" -0.104461049130435
9 "SITTING" "tBodyAccMeanZ" -0.07537846886
10 "SITTING" "tBodyAccMeanZ" -0.104253238796296
11 "SITTING" "tBodyAccMeanZ" -0.112840218339623
12 "SITTING" "tBodyAccMeanZ" -0.106307228960784
13 "SITTING" "tBodyAccMeanZ" -0.0972465110836735
14 "SITTING" "tBodyAccMeanZ" -0.100401490425926
15 "SITTING" "tBodyAccMeanZ" -0.11366125320339
16 "SITTING" "tBodyAccMeanZ" -0.0891404038405797
17 "SITTING" "tBodyAccMeanZ" -0.11362408509375
18 "SITTING" "tBodyAccMeanZ" -0.111904775824561
19 "SITTING" "tBodyAccMeanZ" -0.10870765430137
20 "SITTING" "tBodyAccMeanZ" -0.108369634515152
21 "SITTING" "tBodyAccMeanZ" -0.112057887741176
22 "SITTING" "tBodyAccMeanZ" -0.105827369516129
23 "SITTING" "tBodyAccMeanZ" -0.103808679294118
24 "SITTING" "tBodyAccMeanZ" -0.103041061426471
25 "SITTING" "tBodyAccMeanZ" -0.109160440476923
26 "SITTING" "tBodyAccMeanZ" -0.0974448692333333
27 "SITTING" "tBodyAccMeanZ" -0.105521912588571
28 "SITTING" "tBodyAccMeanZ" -0.111517939555556
29 "SITTING" "tBodyAccMeanZ" -0.1104118192
30 "SITTING" "tBodyAccMeanZ" -0.099515446133871
1 "STANDING" "tBodyAccMeanZ" -0.110601817735849
2 "STANDING" "tBodyAccMeanZ" -0.105908536055556
3 "STANDING" "tBodyAccMeanZ" -0.101621722633148
4 "STANDING" "tBodyAccMeanZ" -0.0961574905535714
5 "STANDING" "tBodyAccMeanZ" -0.102171095696429
6 "STANDING" "tBodyAccMeanZ" -0.112172831947368
7 "STANDING" "tBodyAccMeanZ" -0.0997778303207547
8 "STANDING" "tBodyAccMeanZ" -0.106114996837037
9 "STANDING" "tBodyAccMeanZ" -0.0952747481333333
10 "STANDING" "tBodyAccMeanZ" -0.107964083931818
11 "STANDING" "tBodyAccMeanZ" -0.108686630425532
12 "STANDING" "tBodyAccMeanZ" -0.105526999754098
